user_id,event_type,event_time,group,device
9433,view,2023-01-01 18:05:32,B,Android
3202,click,2023-01-01 12:51:22,A,Android
4485,click,2023-01-01 01:11:34,B,iOS
7093,view,2023-01-01 22:59:28,A,Android
9373,registration,2023-01-01 07:19:54,B,iOS
6836,click,2023-01-01 19:56:20,B,Android
5693,purchase,2023-01-01 14:48:59,A,iOS
120,click,2023-01-01 10:21:57,B,Android
6130,view,2023-01-01 15:40:07,B,Android
886,view,2023-01-01 00:52:44,B,iOS
5007,click,2023-01-01 21:36:34,B,iOS
1807,click,2023-01-01 20:37:12,A,iOS
1742,click,2023-01-01 12:44:10,B,Android
7371,click,2023-01-01 01:14:19,A,Android
6296,click,2023-01-01 05:43:30,A,iOS
4944,click,2023-01-01 09:20:25,B,iOS
4488,purchase,2023-01-01 08:39:51,B,iOS
5409,view,2023-01-01 09:50:34,A,iOS
3228,purchase,2023-01-01 01:26:55,B,Android
9506,click,2023-01-01 07:02:09,B,iOS
1180,view,2023-01-01 23:05:54,A,Android
4935,view,2023-01-01 23:14:20,B,Android
4794,view,2023-01-01 01:02:50,B,Android
7466,view,2023-01-01 14:45:30,B,Android
8447,registration,2023-01-01 14:43:43,B,iOS
2006,click,2023-01-01 13:13:49,B,Android
5955,click,2023-01-01 00:44:02,A,Android
178,click,2023-01-01 22:57:32,A,Android
2808,view,2023-01-01 09:48:40,A,Android
1220,click,2023-01-01 03:00:02,B,iOS
1541,view,2023-01-01 08:07:50,B,Android
9115,purchase,2023-01-01 10:49:08,B,Android
9383,click,2023-01-01 21:33:36,A,Android
914,registration,2023-01-01 19:33:36,B,Android
8883,click,2023-01-01 11:04:10,A,iOS
3552,click,2023-01-01 15:57:31,A,iOS
1504,registration,2023-01-01 03:55:18,B,iOS
2807,click,2023-01-01 18:08:24,B,Android
873,view,2023-01-01 01:25:07,B,Android
6292,click,2023-01-01 20:38:24,A,Android
4094,registration,2023-01-01 10:58:59,A,Android
6530,view,2023-01-01 00:05:30,B,iOS
4556,purchase,2023-01-01 06:20:29,A,iOS
274,click,2023-01-01 06:08:25,B,Android
9399,click,2023-01-01 08:11:24,B,Android
4721,click,2023-01-01 23:21:43,B,Android
7652,view,2023-01-01 14:47:17,B,Android
3573,view,2023-01-01 09:09:51,B,Android
9540,click,2023-01-01 14:23:29,B,iOS
6376,view,2023-01-01 17:57:14,B,Android
9526,view,2023-01-01 11:47:46,A,Android
2282,view,2023-01-01 12:31:42,A,Android
1800,purchase,2023-01-01 06:00:39,A,iOS
744,view,2023-01-01 07:43:03,A,Android
7124,registration,2023-01-01 11:00:31,A,Android
2516,view,2023-01-01 17:09:06,B,iOS
4651,view,2023-01-01 00:37:46,B,Android
819,registration,2023-01-01 15:41:07,A,Android
2224,click,2023-01-01 18:00:54,A,Android
1198,view,2023-01-01 21:53:04,B,Android
5163,view,2023-01-01 14:27:14,A,iOS
4914,purchase,2023-01-01 21:49:58,B,iOS
4915,purchase,2023-01-01 19:22:18,B,iOS
3298,view,2023-01-01 10:07:20,A,iOS
9747,click,2023-01-01 06:45:47,A,iOS
364,view,2023-01-01 15:26:06,B,Android
511,click,2023-01-01 03:54:12,A,Android
1300,click,2023-01-01 04:01:37,B,iOS
9454,view,2023-01-01 14:30:09,A,Android
5890,click,2023-01-01 23:12:06,A,Android
9713,registration,2023-01-01 21:01:41,B,iOS
609,click,2023-01-01 17:11:32,B,iOS
1888,click,2023-01-01 07:57:43,A,iOS
5622,purchase,2023-01-01 00:59:38,A,Android
5645,registration,2023-01-01 07:15:45,A,iOS
7738,click,2023-01-01 11:27:27,A,iOS
8241,view,2023-01-01 16:21:07,B,iOS
674,registration,2023-01-01 23:56:22,B,iOS
8243,registration,2023-01-01 19:51:35,A,Android
2395,view,2023-01-01 07:12:46,B,iOS
4983,view,2023-01-01 00:50:32,B,Android
2470,click,2023-01-01 02:31:27,B,iOS
2634,purchase,2023-01-01 09:34:47,B,iOS
9789,registration,2023-01-01 08:30:01,B,Android
2501,purchase,2023-01-01 07:20:46,B,iOS
3899,view,2023-01-01 17:41:00,A,Android
9573,view,2023-01-01 08:15:21,B,Android
9769,click,2023-01-01 11:17:19,B,Android
2333,click,2023-01-01 12:09:08,A,Android
9115,click,2023-01-01 13:54:30,B,Android
2502,click,2023-01-01 14:54:35,A,Android
5916,click,2023-01-01 16:07:46,A,Android
8945,view,2023-01-01 01:58:18,A,Android
5588,click,2023-01-01 06:01:49,A,iOS
3589,view,2023-01-01 18:49:43,B,Android
1696,click,2023-01-01 12:04:46,A,Android
3495,view,2023-01-01 05:26:53,B,iOS
8944,view,2023-01-01 11:27:21,B,Android
7212,registration,2023-01-01 15:24:35,B,Android
9944,view,2023-01-01 07:32:39,B,iOS
6931,view,2023-01-01 15:47:22,B,Android
1925,click,2023-01-01 23:36:47,B,iOS
9403,click,2023-01-01 13:44:26,B,iOS
440,click,2023-01-01 15:14:48,A,Android
3385,click,2023-01-01 10:28:15,A,iOS
7766,purchase,2023-01-01 02:34:02,A,iOS
2330,view,2023-01-01 13:44:01,B,Android
5225,purchase,2023-01-01 10:26:27,B,iOS
6640,click,2023-01-01 00:17:59,B,iOS
6707,registration,2023-01-01 00:17:30,B,iOS
4720,registration,2023-01-01 02:36:54,B,iOS
6308,click,2023-01-01 23:26:53,A,iOS
2645,purchase,2023-01-01 16:04:47,A,Android
1532,registration,2023-01-01 16:40:33,A,iOS
6580,registration,2023-01-01 13:49:41,B,iOS
4954,click,2023-01-01 05:24:11,B,Android
4307,click,2023-01-01 07:17:52,B,iOS
222,view,2023-01-01 10:48:09,A,iOS
4893,click,2023-01-01 08:01:04,A,iOS
6655,view,2023-01-01 20:20:12,A,iOS
3709,view,2023-01-01 20:52:05,A,iOS
5571,view,2023-01-01 11:13:26,B,Android
626,purchase,2023-01-01 18:46:41,B,iOS
7223,view,2023-01-01 06:54:04,A,iOS
8035,view,2023-01-01 16:38:28,B,Android
8118,purchase,2023-01-01 17:43:15,A,iOS
1520,click,2023-01-01 18:38:27,B,iOS
1241,registration,2023-01-01 21:21:39,B,iOS
9314,purchase,2023-01-01 04:07:29,B,Android
5555,view,2023-01-01 05:58:27,B,iOS
1873,view,2023-01-01 21:17:03,B,Android
8384,purchase,2023-01-01 21:39:52,B,iOS
2518,purchase,2023-01-01 19:14:15,B,iOS
3880,view,2023-01-01 21:17:35,B,Android
15,purchase,2023-01-01 20:18:03,A,iOS
9713,purchase,2023-01-01 01:06:46,B,iOS
2923,registration,2023-01-01 01:00:05,A,iOS
8761,view,2023-01-01 20:45:43,B,Android
5023,view,2023-01-01 23:58:52,B,Android
5727,click,2023-01-01 02:48:14,A,iOS
7465,registration,2023-01-01 19:47:50,B,Android
4088,view,2023-01-01 18:28:55,A,iOS
5713,click,2023-01-01 14:03:58,A,Android
5102,purchase,2023-01-01 23:53:49,A,Android
1357,view,2023-01-01 22:11:32,B,Android
120,view,2023-01-01 19:22:35,B,Android
4574,click,2023-01-01 09:39:11,A,Android
8005,click,2023-01-01 19:24:14,A,Android
6706,click,2023-01-01 18:16:03,B,iOS
266,view,2023-01-01 04:48:02,A,Android
9552,click,2023-01-01 16:29:05,B,Android
8428,click,2023-01-01 12:16:08,A,iOS
5575,view,2023-01-01 10:14:04,A,iOS
9285,view,2023-01-01 00:52:00,A,Android
641,view,2023-01-01 01:36:00,A,iOS
4311,click,2023-01-01 05:36:44,B,Android
1925,registration,2023-01-01 19:02:35,B,iOS
4339,purchase,2023-01-01 19:59:30,B,Android
2831,view,2023-01-01 11:53:13,A,Android
9425,view,2023-01-01 18:43:32,A,Android
3022,click,2023-01-01 18:06:26,B,iOS
9455,view,2023-01-01 01:24:26,B,iOS
9762,click,2023-01-01 00:57:02,B,iOS
6045,click,2023-01-01 00:17:21,A,iOS
2818,registration,2023-01-01 23:02:55,B,iOS
2737,view,2023-01-01 07:04:08,B,Android
281,view,2023-01-01 05:32:19,A,iOS
2497,view,2023-01-01 20:06:36,A,iOS
378,click,2023-01-01 09:17:48,A,Android
8493,registration,2023-01-01 12:25:07,B,Android
3362,view,2023-01-01 18:06:33,B,iOS
4047,click,2023-01-01 12:51:52,A,iOS
6280,click,2023-01-01 19:50:47,A,iOS
9348,click,2023-01-01 06:06:50,B,Android
6615,view,2023-01-01 07:19:11,A,iOS
5800,click,2023-01-01 05:13:38,A,iOS
7211,click,2023-01-01 01:34:31,A,iOS
5058,click,2023-01-01 10:07:05,A,iOS
863,click,2023-01-01 08:08:36,B,Android
185,purchase,2023-01-01 04:02:09,B,iOS
6100,registration,2023-01-01 13:35:33,B,Android
1914,view,2023-01-01 18:11:48,A,iOS
8486,view,2023-01-01 16:07:33,A,Android
4637,click,2023-01-01 06:32:09,B,iOS
8194,click,2023-01-01 13:03:54,A,iOS
6953,click,2023-01-01 22:11:05,A,Android
7471,registration,2023-01-01 04:40:22,B,iOS
3960,view,2023-01-01 12:05:21,A,iOS
165,view,2023-01-01 12:33:09,B,Android
5687,view,2023-01-01 08:34:20,B,iOS
6471,view,2023-01-01 05:21:13,A,Android
4544,click,2023-01-01 16:18:15,B,iOS
8429,registration,2023-01-01 09:24:30,B,iOS
7144,registration,2023-01-01 11:25:02,A,iOS
5911,view,2023-01-01 04:09:48,B,iOS
9340,view,2023-01-01 07:25:58,A,iOS
8435,view,2023-01-01 20:00:45,A,Android
6730,registration,2023-01-01 06:13:20,B,iOS
2601,view,2023-01-01 02:25:25,B,Android
3522,view,2023-01-01 02:37:55,B,Android
7125,view,2023-01-01 05:06:49,A,Android
4875,view,2023-01-01 16:21:12,B,iOS
5112,click,2023-01-01 17:57:53,B,Android
509,purchase,2023-01-01 07:30:42,A,Android
1791,click,2023-01-01 14:46:30,B,Android
2088,registration,2023-01-01 11:42:02,B,iOS
8766,registration,2023-01-01 21:01:44,A,iOS
8319,registration,2023-01-01 07:12:29,A,iOS
5535,view,2023-01-01 16:35:16,A,iOS
4174,click,2023-01-01 13:32:31,A,Android
1658,view,2023-01-01 16:43:31,B,iOS
6841,click,2023-01-01 04:23:05,A,Android
7474,click,2023-01-01 01:22:34,A,iOS
9705,purchase,2023-01-01 16:26:21,B,iOS
2737,view,2023-01-01 17:31:17,B,Android
7962,click,2023-01-01 15:16:29,A,iOS
6082,click,2023-01-01 15:24:11,A,Android
2114,click,2023-01-01 02:31:07,A,iOS
3483,registration,2023-01-01 03:45:55,B,iOS
6414,view,2023-01-01 19:04:55,B,iOS
4459,click,2023-01-01 01:58:10,A,Android
6945,click,2023-01-01 05:10:11,B,iOS
7486,view,2023-01-01 07:56:42,B,iOS
7003,view,2023-01-01 03:53:47,A,Android
354,click,2023-01-01 21:28:29,A,iOS
5966,view,2023-01-01 09:52:42,B,Android
2202,click,2023-01-01 17:46:41,A,Android
2830,click,2023-01-01 08:52:27,A,iOS
7345,click,2023-01-01 02:26:16,B,Android
149,click,2023-01-01 15:29:12,A,iOS
1569,registration,2023-01-01 23:15:00,B,Android
7600,click,2023-01-01 08:13:35,B,Android
5258,click,2023-01-01 05:43:47,A,Android
3808,click,2023-01-01 23:50:09,B,Android
2603,click,2023-01-01 17:00:48,A,iOS
5209,click,2023-01-01 17:22:40,A,iOS
2681,view,2023-01-01 13:57:29,B,Android
1899,view,2023-01-01 15:03:22,B,Android
3003,view,2023-01-01 01:33:18,A,Android
6730,click,2023-01-01 19:10:21,B,iOS
1783,view,2023-01-01 03:21:19,B,iOS
9945,registration,2023-01-01 09:10:44,B,iOS
3066,click,2023-01-01 18:58:48,A,Android
4350,view,2023-01-01 05:53:23,B,Android
909,click,2023-01-01 05:58:09,A,Android
9405,click,2023-01-01 22:49:31,B,Android
70,view,2023-01-01 02:06:06,B,iOS
6592,view,2023-01-01 18:36:26,A,Android
9124,purchase,2023-01-01 20:25:05,A,Android
945,click,2023-01-01 22:43:08,A,iOS
3406,click,2023-01-01 13:18:46,B,iOS
9509,click,2023-01-01 01:50:00,B,Android
9341,click,2023-01-01 09:53:55,B,iOS
7642,registration,2023-01-01 11:25:47,A,Android
5387,click,2023-01-01 04:28:51,B,iOS
5430,view,2023-01-01 04:27:08,A,iOS
6256,click,2023-01-01 17:55:21,B,Android
1924,click,2023-01-01 09:01:46,A,Android
5626,registration,2023-01-01 07:32:05,A,Android
7759,purchase,2023-01-01 08:54:10,B,iOS
4468,click,2023-01-01 14:11:43,B,Android
9366,view,2023-01-01 08:54:30,B,Android
3094,click,2023-01-01 04:00:11,A,iOS
1886,registration,2023-01-01 02:48:14,B,iOS
9501,registration,2023-01-01 14:03:40,A,iOS
8497,click,2023-01-01 19:04:26,A,iOS
9132,view,2023-01-01 16:43:50,B,iOS
7525,click,2023-01-01 17:48:44,A,iOS
4691,click,2023-01-01 22:13:58,A,Android
7628,click,2023-01-01 03:15:16,A,Android
9638,view,2023-01-01 04:59:48,B,iOS
3050,click,2023-01-01 22:34:50,A,Android
6194,click,2023-01-01 21:23:53,B,iOS
1068,registration,2023-01-01 15:17:14,B,Android
8940,registration,2023-01-01 10:56:55,A,Android
3562,view,2023-01-01 04:26:46,B,Android
8341,click,2023-01-01 16:26:17,A,Android
3903,click,2023-01-01 06:20:17,A,iOS
5105,click,2023-01-01 02:24:13,A,iOS
5997,click,2023-01-01 19:40:55,A,iOS
7467,click,2023-01-01 20:26:37,B,iOS
8511,purchase,2023-01-01 13:51:29,B,iOS
4342,click,2023-01-01 23:50:30,B,iOS
7858,purchase,2023-01-01 22:16:07,A,Android
4641,click,2023-01-01 02:02:54,B,iOS
1745,view,2023-01-01 14:47:19,B,Android
1922,purchase,2023-01-01 14:27:55,A,Android
5503,view,2023-01-01 02:35:08,A,Android
4597,purchase,2023-01-01 06:11:25,A,iOS
8106,view,2023-01-01 18:53:59,A,iOS
7714,click,2023-01-01 01:03:55,A,Android
7785,view,2023-01-01 12:51:47,A,Android
5898,view,2023-01-01 08:05:05,B,iOS
868,view,2023-01-01 13:26:19,B,Android
6970,view,2023-01-01 21:14:03,A,iOS
7590,registration,2023-01-01 19:21:51,B,Android
1474,view,2023-01-01 17:19:42,A,Android
9620,click,2023-01-01 08:41:48,B,Android
7069,view,2023-01-01 19:10:31,B,Android
6961,view,2023-01-01 03:22:35,B,iOS
3493,click,2023-01-01 18:48:23,A,iOS
3353,click,2023-01-01 11:53:04,A,Android
2037,click,2023-01-01 22:20:25,B,iOS
2133,registration,2023-01-01 08:49:32,A,iOS
1609,view,2023-01-01 04:48:42,A,iOS
8927,view,2023-01-01 09:42:29,A,iOS
4899,click,2023-01-01 00:22:59,A,iOS
6567,click,2023-01-01 17:02:16,A,Android
333,view,2023-01-01 11:19:55,A,iOS
9982,click,2023-01-01 23:44:12,A,iOS
145,registration,2023-01-01 11:09:03,B,Android
5076,registration,2023-01-01 11:28:21,B,Android
8721,click,2023-01-01 16:54:47,A,Android
9555,view,2023-01-01 21:23:22,B,Android
2744,click,2023-01-01 07:51:23,B,iOS
6033,view,2023-01-01 16:24:15,A,iOS
8639,click,2023-01-01 20:25:13,A,iOS
9006,purchase,2023-01-01 13:23:28,A,Android
8883,click,2023-01-01 12:10:51,A,iOS
277,view,2023-01-01 14:09:22,B,iOS
6337,purchase,2023-01-01 20:22:22,B,iOS
1339,registration,2023-01-01 23:35:53,A,Android
740,purchase,2023-01-01 20:17:15,A,Android
4859,registration,2023-01-01 14:51:50,B,Android
4695,registration,2023-01-01 03:32:24,B,iOS
8905,registration,2023-01-01 05:00:07,B,iOS
6627,view,2023-01-01 20:05:07,B,Android
2836,click,2023-01-01 01:06:53,A,Android
9054,view,2023-01-01 08:40:24,A,iOS
7913,purchase,2023-01-01 12:06:40,A,Android
9398,registration,2023-01-01 17:08:22,B,Android
2025,purchase,2023-01-01 09:12:51,B,iOS
6201,purchase,2023-01-01 07:06:53,B,Android
1622,click,2023-01-01 19:30:28,B,Android
8656,click,2023-01-01 04:05:50,B,iOS
9963,registration,2023-01-01 13:06:44,A,iOS
5007,view,2023-01-01 09:41:37,B,iOS
4398,view,2023-01-01 14:08:55,A,Android
1686,view,2023-01-01 16:35:44,B,iOS
5251,click,2023-01-01 16:21:33,A,iOS
6762,view,2023-01-01 08:19:02,B,Android
6251,view,2023-01-01 14:45:33,B,iOS
9628,registration,2023-01-01 08:27:42,B,iOS
4326,click,2023-01-01 06:52:31,A,iOS
9794,view,2023-01-01 05:29:05,B,iOS
7190,registration,2023-01-01 08:42:47,B,Android
7145,view,2023-01-01 23:49:53,B,iOS
4323,purchase,2023-01-01 19:03:13,A,Android
750,registration,2023-01-01 06:36:30,B,iOS
8942,registration,2023-01-01 04:41:16,A,iOS
3021,registration,2023-01-01 16:43:59,B,iOS
9942,view,2023-01-01 18:41:05,B,iOS
9906,click,2023-01-01 20:21:09,B,Android
3107,view,2023-01-01 01:49:23,A,iOS
2796,click,2023-01-01 15:53:53,B,Android
8821,click,2023-01-01 17:41:19,B,iOS
3389,purchase,2023-01-01 04:25:22,A,iOS
9046,click,2023-01-01 16:48:28,B,Android
5795,click,2023-01-01 18:09:20,A,iOS
3601,click,2023-01-01 03:07:04,A,Android
8791,view,2023-01-01 15:58:25,B,iOS
632,view,2023-01-01 11:28:06,A,iOS
7806,view,2023-01-01 04:42:15,A,iOS
4325,registration,2023-01-01 07:23:29,B,Android
2443,view,2023-01-01 05:10:58,B,Android
4791,view,2023-01-01 07:47:36,A,iOS
8796,purchase,2023-01-01 12:44:06,A,Android
8273,view,2023-01-01 02:30:11,B,Android
5940,view,2023-01-01 05:50:52,A,Android
2339,view,2023-01-01 23:43:15,A,Android
2906,view,2023-01-01 01:58:24,A,Android
9998,click,2023-01-01 19:22:31,A,iOS
9380,click,2023-01-01 21:07:31,A,iOS
1291,view,2023-01-01 12:59:06,B,iOS
4758,purchase,2023-01-01 12:21:37,B,Android
1141,click,2023-01-01 00:03:31,B,iOS
9668,view,2023-01-01 06:13:29,B,iOS
7860,view,2023-01-01 06:42:46,A,Android
3935,registration,2023-01-01 15:23:33,B,Android
2604,view,2023-01-01 01:55:34,B,iOS
66,registration,2023-01-01 15:24:40,B,iOS
8498,view,2023-01-01 15:06:46,B,iOS
8950,registration,2023-01-01 18:24:32,A,iOS
